GID,SIFRA_KO,BROJ,POVRSINA
"679","316580","564",929.000000000000000
"680","316580",532/1,2017.000000000000000
"681","316580",533/3,107.000000000000000
"682","316580","548",759.000000000000000
"683","316580","1184",1720.000000000000000
"684","316580","498",215.000000000000000
"685","316580","497",2887.000000000000000
"954","316580","723",765.000000000000000
"955","316580",390/3,446.000000000000000
"956","316580","1009",5082.000000000000000
"957","316580",855/4,1056.000000000000000
"958","316580","833",6349.000000000000000
"959","316580","778",4370.000000000000000
"960","316580",780/2,1996.000000000000000
"961","316580","786",970.000000000000000
"962","316580",788/2,314.000000000000000
"963","316580",790/7,3433.000000000000000
"964","316580",790/21,139.000000000000000
"965","316580",790/20,342.000000000000000
"966","316580",773/3,533.000000000000000
"967","316580",772/6,518.000000000000000
"968","316580",756/4,575.000000000000000
"969","316580",756/1,627.000000000000000
"970","316580",754/3,717.000000000000000
"971","316580",756/3,643.000000000000000
"972","316580",790/5,667.000000000000000
"973","316580",790/4,675.000000000000000
"974","316580",795/1,1837.000000000000000
"975","316580",1191/1,8754.000000000000000
"976","316580",796/1,563.000000000000000
"977","316580","799",15244.000000000000000
"978","316580",790/2,838.000000000000000
"979","316580",753/3,822.000000000000000
"980","316580",750/24,1019.000000000000000
"981","316580",749/5,117.000000000000000
"982","316580",750/33,40.000000000000000
"983","316580",753/7,965.000000000000000
"984","316580",750/15,2896.000000000000000
"985","316580",753/8,1014.000000000000000
"986","316580",281/29,415.000000000000000
"987","316580",281/28,134.000000000000000
"988","316580",750/25,712.000000000000000
"989","316580",750/10,473.000000000000000
"990","316580",750/26,377.000000000000000
"991","316580",750/31,16.000000000000000
"3304","316580","891",42.000000000000000
"3305","316580",1071/2,398.000000000000000
"3306","316580","1073",583.000000000000000
"3307","316580","1066",636.000000000000000
"3308","316580","602",315.000000000000000
"3309","316580",1179/2,413.000000000000000
"3310","316580",599/15,794.000000000000000
"3311","316580","0003",174.000000000000000
"3312","316580",608/3,493.000000000000000
"3313","316580","625",169.000000000000000
"3314","316580",371/4,284.000000000000000
"3315","316580",587/4,288.000000000000000
"3316","316580",573/11,177.000000000000000
"3317","316580","611",326.000000000000000
"3318","316580",630/7,290.000000000000000
"3319","316580","791",212.000000000000000
"3320","316580",749/3,387.000000000000000
"3321","316580",750/16,504.000000000000000
"3322","316580","802",3671.000000000000000
"3323","316580","806",7604.000000000000000
"3324","316580",738/8,105.000000000000000
"3325","316580",738/5,355.000000000000000
"3326","316580",738/2,282.000000000000000
"3327","316580",812/6,86.000000000000000
"3328","316580",812/4,66.000000000000000
"3329","316580","1526",666.000000000000000
"3330","316580",14/1,860.000000000000000
"3331","316580","1132",1348.000000000000000
"3332","316580","1140",1573.000000000000000
"3333","316580","279",554.000000000000000
"3334","316580",278/8,264.000000000000000
"3335","316580",2/12,15.000000000000000
"3336","316580",2/8,362.000000000000000
"3337","316580",1525/1,300.000000000000000
"3338","316580",30/1,676.000000000000000
"3339","316580",281/16,362.000000000000000
"3340","316580","16",324.000000000000000
"3341","316580","12",278.000000000000000
"686","316580","508",881.000000000000000
"687","316580",509/2,583.000000000000000
"688","316580","1183",449.000000000000000
"689","316580","469",277.000000000000000
"690","316580","470",990.000000000000000
"691","316580","476",4446.000000000000000
"692","316580",479/3,929.000000000000000
"693","316580","495",1421.000000000000000
"694","316580","494",705.000000000000000
"695","316580",479/1,1064.000000000000000
"696","316580",492/2,508.000000000000000
"697","316580","1017",15202.000000000000000
